,type
N1,normal
N2,normal
N3,normal
N4,normal
N5,normal
N6,normal
N7,normal
N8,normal
N9,normal
N10,normal
N11,normal
N12,normal
N13,normal
N14,normal
N15,normal
N16,normal
N17,normal
N18,normal
N19,normal
T1,tumor
T2,tumor
T3,tumor
T4,tumor
T5,tumor
T6,tumor
T7,tumor
T8,tumor
T9,tumor
T10,tumor
T11,tumor
T12,tumor
T13,tumor
T14,tumor
T15,tumor
T16,tumor
T17,tumor
T18,tumor
T19,tumor
T20,tumor
T21,tumor
T22,tumor
T23,tumor
T24,tumor
T25,tumor
T26,tumor
T27,tumor
T28,tumor
T29,tumor
T30,tumor
T31,tumor
T32,tumor
T33,tumor
T34,tumor
T35,tumor
T36,tumor
T37,tumor
T38,tumor
T39,tumor
T40,tumor
T41,tumor
T42,tumor
T43,tumor
T44,tumor
T45,tumor
T46,tumor
T47,tumor
T48,tumor
T49,tumor
T50,tumor
T51,tumor
T52,tumor
T53,tumor
T54,tumor
T55,tumor
T56,tumor
T57,tumor
T58,tumor
T59,tumor
T60,tumor
T61,tumor
T62,tumor
T63,tumor
T64,tumor
T65,tumor
T66,tumor
T67,tumor
T68,tumor
T69,tumor
T70,tumor
T71,tumor
T72,tumor
T73,tumor
T74,tumor
T75,tumor
T76,tumor
T77,tumor
T78,tumor
T79,tumor
T80,tumor
T81,tumor
T82,tumor
T83,tumor
T84,tumor
T85,tumor
T86,tumor
T87,tumor
T88,tumor
T89,tumor
T90,tumor
T91,tumor
T92,tumor
T93,tumor
T94,tumor
T95,tumor
T96,tumor
T97,tumor
T98,tumor
T99,tumor
T100,tumor
T101,tumor
T102,tumor
T103,tumor
T104,tumor
T105,tumor
T106,tumor
T107,tumor
T108,tumor
T109,tumor
T110,tumor
T111,tumor
T112,tumor
T113,tumor
T114,tumor
T115,tumor
T116,tumor
T117,tumor
T118,tumor
T119,tumor
T120,tumor
T121,tumor
T122,tumor
T123,tumor
T124,tumor
T125,tumor
T126,tumor
T127,tumor
T128,tumor
T129,tumor
T130,tumor
T131,tumor
T132,tumor
T133,tumor
T134,tumor
T135,tumor
T136,tumor
T137,tumor
T138,tumor
T139,tumor
T140,tumor
T141,tumor
T142,tumor
T143,tumor
T144,tumor
T145,tumor
T146,tumor
T147,tumor
T148,tumor
T149,tumor
T150,tumor
T151,tumor
T152,tumor
T153,tumor
T154,tumor
T155,tumor
T156,tumor
T157,tumor
T158,tumor
T159,tumor
T160,tumor
T161,tumor
T162,tumor
T163,tumor
T164,tumor
T165,tumor
T166,tumor
T167,tumor
T168,tumor
T169,tumor
T170,tumor
T171,tumor
T172,tumor
T173,tumor
T174,tumor
T175,tumor
T176,tumor
T177,tumor
T178,tumor
T179,tumor
T180,tumor
T181,tumor
